user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list,option_prob_list
 And the next one ? , That was the last result . , IS there a lunch schedule after the dentist ? ,"[""Do I have a lunch after the dentist?"", ""Do I have lunch after the dentist?"", ""Do I have anything after lunch but before the dentist?""]","[0, 2, 4]","[0.19662427176083935, 2.671130516773701e-06, 9.457962780663235e-09]"
 Please cancel both Thursday meetings with John . ," I can only do one action at a time . If you separate your requests , I can help you . ", Can you send Mike an invitation ? ,"[""email Cecelia Waller that the meeting is set"", ""Can you forward this to Mike?"", ""Why is that?"", ""Please schedule a meeting with the pope tomorrow."", ""Please add Mike to this meeting."", ""Please call Mike for me."", ""Can you schedule a meeting with Mike?"", ""Can you forward my meeting to Mike?"", ""Can you forward this to Mike and Mike""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[0.09821531176567078, 0.5732559700000783, 0.0009941671742126346, 0.0008904928108677268, 0.00016903259635553958, 1.1006371299509854e-07, 1.3560124920731209e-09, 1.0204923653385864e-10, 1.6717777524258188e-10]"
 That 'll work . , I 've put that on your calendar . , 2 - 4 PM is down time with janice . ,"[""down time with janice at 2"", ""2-4PM down time with janice"", ""schedule down time with janice until 4\\2"", ""2-4PM down time with janice at janice"", ""2-4PM is down time with janice.""]","[0, 1, 5, 7, 8]","[5.2009382836076115e-11, 2.244481039221992e-10, 4.970349918112331e-20, 4.0991756307093076e-26, 2.492868609002352e-32]"
 Do I have anything on Sunday after 5 pm ? ," No , I did n't find any events on Sunday the 20 th after 5 : 00 PM . ", Put Strange Aeons for sunday at 7 : 30 pm until 11 pm . It 'll be in Roll20 as usual . ,"[""How do I add an event to my calendar?"", ""Add Strange Aeons to my calendar on Sunday from 7 pm to 11 pm at Roll20."", ""Add Strange Aeons to my calendar on Saturday from 7 pm to 11 pm at Roll20."", ""Can you confirm this?""]","[0, 1, 3, 4]","[0.0006438324344344437, 1.2688351361116705e-13, 1.192912344639409e-20, 0.0]"
 Extend it by 30 min , How about now ? , it ends at 8 AM ,"[""Extend the end time by 15 minutes."", ""Extend it to 8AM please"", ""Can you extend it by 30 min?"", ""That looks good."", ""Extend it to 8PM"", ""Extend appointment until 8:00 AM.""]","[0, 1, 2, 3, 8, 9]","[0.057244740426540375, 0.497300079510671, 0.01316375657916069, 3.4302066805616755e-07, 1.1805460565030177e-12, 5.747859992394723e-11]"
 Yes also decline my AC / CD Reunion and say i am going to see Journey instead ," I have declined it . I will decline "" AC / CD Reunion "" and send a response to the organizer with the following comment : "" i am going to see Journey instead "" . Is that ok ? ", Yes . And decline the hike and say that I 'm busy wake boarding that day . ,"[""Yes, that's good. Decline my hike and say that I'm busy wake boarding that day."", ""Yes, that's good. Decline the hike and say that I'm busy wake boarding that day."", ""Yes, thank you. Decline my hike and say that I'm busy wake boarding."", ""Decline the hike and say that I'm busy wake boarding that day."", ""Yes, thank you. Decline my hike and say that I'm busy boarding that day.""]","[0, 3, 4, 5, 9]","[0.046562024960108965, 5.79616819643199e-14, 1.8123206052705605e-14, 1.9036817753419195e-18, 9.633688121920145e-25]"
 Looks good to me . , I 've put that on your calendar . , Schedule a video call with Tom and his supervisor Friday at 2 . ,"[""Schedule a video call with Tom and his supervisor on Friday at 2:00 pm."", ""Schedule a video call with the manager on Friday at 2:00 pm."", ""Schedule a video call with Tom and his supervisor Friday at 2 pm."", ""Schedule a video call with Tom's manager on Friday at 2:00 pm."", ""Schedule a video call with Tom and Tom's boss Friday at 2 pm."", ""Schedule a video call with him and his boss Friday at 2 pm."", ""Schedule a video call with both of them Friday at 2 pm."", ""Schedule a video call with Tom and his boss Friday at 2 pm.""]","[0, 1, 2, 3, 5, 6, 8, 9]","[7.701945580189854e-14, 1.678840337524577e-10, 3.861348381972393e-14, 1.4543759819348702e-16, 7.749545545203992e-15, 1.0105105591547933e-15, 2.9466670517659017e-12, 1.0642351663147027e-14]"
 What is my next all day event ," The next all - day event is "" Meeting with Damon Straeter , Abby Gonano , Dan Marton , and Jesse Rosenfeld "" tomorrow . ", Can you extend that to Saturday ? ,"[""Can you change that to end on Saturday?"", ""Can you make that an all day event lasting from tomorrow until Saturday?"", ""Can you extend that to the following Saturday?"", ""Can you make that an all day event from tomorrow until Saturday?"", ""Please make that event last from tomorrow until Saturday."", ""Can you change that to last from tomorrow until Saturday?"", ""Make it from today until Saturday.""]","[0, 2, 3, 4, 5, 6, 7]","[0.0073081535925247475, 2.920062059239554e-08, 4.2988477384243825e-07, 2.823820989604701e-08, 3.342100331891317e-08, 1.0894000984537913e-12, 2.321099429913155e-13]"
 Please change this to In N Out Burger and make it around 5 pm , Does one of these work ? , yes . now make me a track meet event around 3 pm ,"[""Looks good. Now make my track meet start around 3 pm"", ""Yes. I also have a track meet that I want to attend around 3 pm"", ""Looks good. I also have a track meet at around 3 pm"", ""Yes. I also have a track meet that day at around 3 pm"", ""Looks good. I also have a track meet today around 3 pm"", ""Looks good. I also have a track meet that day around 3 pm""]","[0, 1, 2, 4, 7, 8]","[0.09703688888327999, 0.007944372033313033, 0.0030048900259749736, 2.413750666253819e-05, 1.2363198111594407e-06, 4.5674630576191307e-07]"
,, Cancel the meeting I had scheduled for this Thursday and switch it to Friday afternoon . ,"[""I need to cancel all my meetings for tomorrow."", ""Can you move my Thursday meeting to Friday afternoon?"", ""Can you change my meeting on Thursday to be in the afternoon?"", ""Can you move my meeting from Thursday to Friday afternoon?"", ""Change my meeting from Thursday to Friday afternoon."", ""Move my meeting from last Thursday to this Friday afternoon."", ""Move my meeting on Thursday to the same time."", ""Move my appointment on Thursday to the same time."", ""Change my appointment on Thursday to next Thursday at the same time.""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[0.040296271443367004, 0.0029437255480688875, 2.40611240807102e-08, 5.844283442793332e-09, 2.3835603994559152e-11, 5.114772946555792e-12, 1.846991131060912e-11, 4.3236760468869005e-16, 1.290159772875423e-16]"
