user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,option_1,option_1_idx,option_2,option_2_idx,option_3,option_3_idx
 that 's great ," I 've changed "" staff meeting "" to be without Doug and Joan . "," Great . We have a kickball game tonight that Emily wo n't be there , Darren is going to come in her place .","Emily isn't coming to the kickball game today, but Darren is.",1,"Emily isn't going to make it to the kickball game tonight, but Darren is.",0,What about Sunday?,3,"Emily isn't coming to the kickball game tonight, but Darren is.",2
 when is my lunch meeting ? ," event matching "" lunch meeting "" is on Wednesday at 8 : 00 AM . ", who is my lunch meeting with ?,Who is invited to lunch?,2,Who is attending the lunch meeting?,1,Who is my lunch meeting with?,0,defer the next meeting Simmons,3
,, I need event to be at 13 tomorrow,make an event for 13 tomorrow,2,make an Event for 13 tomorrow,0,What will the temperature be at 3am tomorrow?,3,make an event for 1300 tomorrow,1
,, Delete the service I have schedule for Sunday at 07 h,Delete my service at 08h on Sunday.,1,Delete my service at 06h on Sunday.,2,Delete my service at 07h on Sunday.,0,When was my longest meeting last week?,3
,, can you make Dinner that is n't on the weekend,Dinner can't be on the weekend.,2,I meant the one on Thursday.,3,Can you make me a Lunch but not on the weekend,1,Dinner can't be on the weekend.,0
,, schedule a date with Lola this weekend on Saturday or Sunday for 3 hours,Schedule a date with Lola for 3 hours either Saturday or Sunday.,0,Can you tell me when my next block of free time is?,3,Schedule a date with Lola on Saturday for 3 hours.,2,schedule a date with Lola this weekend for 3 hours,1
 Please change meeting with kay to 2 pm . , I did n't find any events with kay . , next meeting with jesse,What meeting do I have in an hour?,3,what is my next meeting with jesse,1,What is my next event with Tristan?,2,what is my next meeting with jesse,0
 cancel my lunch , Is this what you want me to cancel ? , show my all events,Search for all events,2,defer the next meeting Simmons,0,Are you sure about that? Please check again.,3,search events,1
 Is that a good place for a group meal ? ," Yes , Twisted Fork is good for groups . ", Texas Roadhouse in reno,Find me Texas Roadhouse in reno,1,Find me Texas Roadhouse in reno,0,What's the weather like at Texas Roadhouse in reno?,2,Can you add James Karl and Mike to this event?,3
" Yes , i am also feel like that . ", Let me know if there 's anything else I can help you with . , How long is the work lunch next Thursday ?,How long is my work lunch?,1,create black friday shopping,3,How long is my work lunch on Thursday?,2,How long is my work lunch on Thursday?,0
,, Schedule meeting with the Supervisor on monday at 10 am,Who are David Lax's reports?,3,Schedule a meeting with my boss on Monday at 10 am.,1,Schedule a meeting with my boss on Monday at 10 am.,2,Please schedule a meeting with the pope tomorrow.,0
