user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list
 And the next one ? , That was the last result . , IS there a lunch schedule after the dentist ?,"[""Do I have a lunch after the dentist?"", ""Do I have anything after lunch but before the dentist?""]","[0, 2]"
 Please cancel both Thursday meetings with John . ," I can only do one action at a time . If you separate your requests , I can help you . ", Can you send Mike an invitation ?,"[""email Cecelia Waller that the meeting is set"", ""Can you forward this to Mike?"", ""Please add Mike to this meeting.""]","[0, 1, 2]"
 That 'll work . , I 've put that on your calendar . , 2 - 4 PM is down time with janice .,"[""2-4PM down time with janice"", ""2pm down time with janice until 4pm""]","[0, 2]"
 Do I have anything on Sunday after 5 pm ? ," No , I did n't find any events on Sunday the 20 th after 5 : 00 PM . ", Put Strange Aeons for sunday at 7 : 30 pm until 11 pm . It 'll be in Roll20 as usual .,"[""Add Strange Aeons to my calendar on Sunday from 7 pm to 11 pm at Roll20."", ""Can you confirm this?""]","[0, 2]"
 Extend it by 30 min , How about now ? , it ends at 8 AM,"[""Extend the end time by 15 minutes."", ""Extend it to 8AM please""]","[0, 1]"
 Yes also decline my AC / CD Reunion and say i am going to see Journey instead ," I have declined it . I will decline "" AC / CD Reunion "" and send a response to the organizer with the following comment : "" i am going to see Journey instead "" . Is that ok ? ", Yes . And decline the hike and say that I 'm busy wake boarding that day .,"[""Yes, that's good. Decline my hike and say that I'm busy wake boarding that day.""]",[0]
 Looks good to me . , I 've put that on your calendar . , Schedule a video call with Tom and his supervisor Friday at 2 .,"[""Schedule a video call with the manager on Friday at 2:00 pm."", ""Schedule a video call with the manager and his boss for Friday at 2 pm."", ""Schedule a video call with Tom's boss for Friday at 2 pm.""]","[0, 1, 2]"
 What is my next all day event ," The next all - day event is "" Meeting with Damon Straeter , Abby Gonano , Dan Marton , and Jesse Rosenfeld "" tomorrow . ", Can you extend that to Saturday ?,"[""Can you change that to end on Saturday?""]",[0]
 Please change this to In N Out Burger and make it around 5 pm , Does one of these work ? , yes . now make me a track meet event around 3 pm,"[""Looks good. Now make my track meet start around 3 pm"", ""Yes. I also have a track meet that I want to attend around 3 pm"", ""Looks good. I also have a track meet at around 3 pm""]","[0, 1, 2]"
,, Cancel the meeting I had scheduled for this Thursday and switch it to Friday afternoon .,"[""I need to cancel all my meetings for tomorrow."", ""Can you move my Thursday meeting to Friday afternoon?"", ""Can you move my meeting from Thursday to Friday afternoon?""]","[0, 1, 2]"
 None , Let me know if there 's anything else I can help you with . , Book a meeting for 10 years from right now with Barack Obama,"[""I need to meet with Barack Obama 10 years from now"", ""Meeting with Barack Obama in 10 years"", ""Set up a meeting with Barack Obama next year""]","[0, 1, 2]"
 i need you to decline the event with Josh ," I will decline "" Meeting with Josh and Damon Straeter "" . Is that ok ? ", Yes also decline my AC / CD Reunion and say i am going to see Journey instead,"[""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey instead."", ""Decline my AC / CD Reunion and say that i am going to see Journey instead"", ""Decline my AC / CD Reunion and say that i am going to see Journey""]","[0, 1, 2]"
